from,to,prob,spc,forward_from_sources,backward_to_sinks
"('面对', '知识重构类')","('顶住', '知识重构类')",1.0,1197,1,1197
"('加强', '知识协作类')","('组织', '知识协作类')",1.0,1197,1,1197
"('决定', '知识规划类')","('研究', '知识重构类')",0.08333333333333333,1179,1179,1
"('证明', '知识重构类')","('指出', '成果影响类')",0.1111111111111111,1093,1093,1
"('开辟', '成果影响类')","('测量', '知识重构类')",0.3333333333333333,986,34,29
"('委托', '知识协作类')","('测验', '知识重构类')",1.0,981,1,981
"('出现', '知识重构类')","('委托', '知识协作类')",1.0,981,1,981
"('添加', '知识整合类')","('帮助', '知识协作类')",1.0,960,1,960
"('主持', '知识规划类')","('确定', '知识规划类')",1.0,940,1,940
"('达到', '知识协作类')","('确定', '知识规划类')",1.0,940,1,940
"('察觉', '知识重构类')","('怀疑', '知识重构类')",0.3333333333333333,920,2,460
"('配备', '资源获取类')","('指导', '知识协作类')",0.5,919,1,919
"('认识', '知识规划类')","('指导', '知识协作类')",1.0,919,1,919
"('复习', '知识整合类')","('指导', '知识协作类')",1.0,919,1,919
"('要求', '知识规划类')","('指导', '知识协作类')",0.5,919,1,919
"('帮助', '知识协作类')","('复习', '知识整合类')",0.3333333333333333,919,1,919
"('奠定', '知识重构类')","('指导', '知识协作类')",1.0,919,1,919
"('填补', '成果影响类')","('奠定', '知识重构类')",1.0,919,1,919
"('辩论', '知识协作类')","('激发', '知识重构类')",1.0,918,2,459
"('怀疑', '知识重构类')","('辩论', '知识协作类')",0.5,918,2,459
"('激发', '知识重构类')","('采用', '知识重构类')",1.0,918,2,459
"('参加', '知识重构类')","('试验', '知识重构类')",0.3333333333333333,882,2,441
"('遇到', '知识重构类')","('来到', '知识规划类')",1.0,861,1,861
"('发现', '知识重构类')","('说明', '知识重构类')",0.05882352941176471,800,200,4
"('掌握', '知识重构类')","('提供', '成果影响类')",1.0,797,1,797
"('提供', '成果影响类')","('制定', '知识规划类')",1.0,797,1,797
"('担任', '知识规划类')","('制定', '知识规划类')",0.25,797,1,797
"('采集', '资源获取类')","('奠定', '成果影响类')",1.0,795,1,795
"('支持', '成果影响类')","('参加', '知识协作类')",1.0,772,1,772
"('表明', '知识重构类')","('观察', '知识重构类')",0.1666666666666667,748,44,17
"('来到', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,747,1,747
"('负责', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,747,1,747
"('指导', '知识协作类')","('研读', '知识整合类')",0.1111111111111111,735,15,49
"('提高', '知识重构类')","('开展', '知识规划类')",0.3333333333333333,720,2,360
"('提供', '知识重构类')","('表明', '知识重构类')",0.25,675,5,135
"('选择', '资源获取类')","('确定', '知识重构类')",1.0,638,1,638
"('满足', '知识重构类')","('确定', '知识重构类')",1.0,638,1,638
"('安排', '知识规划类')","('带领', '知识协作类')",0.5,636,3,212
"('试验', '知识重构类')","('观察', '知识重构类')",0.1333333333333333,629,37,17
"('引用', '知识重构类')","('选择', '知识重构类')",1.0,611,1,611
"('发现', '知识重构类')","('计算', '知识重构类')",0.05882352941176471,600,200,3
"('发现', '知识重构类')","('研制', '知识重构类')",0.05882352941176471,600,200,3
"('确定', '知识重构类')","('绘制', '知识重构类')",0.3333333333333333,594,2,297
"('改造', '知识重构类')","('继续', '知识重构类')",0.5,592,2,296
"('看见', '知识重构类')","('获取', '知识重构类')",0.5,592,2,296
"('继续', '知识重构类')","('获取', '知识重构类')",1.0,592,2,296
"('确定', '知识重构类')","('简化', '知识重构类')",0.3333333333333333,592,2,296
"('简化', '知识重构类')","('获取', '知识重构类')",1.0,592,2,296
"('根据', '资源获取类')","('分析', '知识重构类')",0.1428571428571428,565,5,113
"('认为', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,549,183,3
"('测验', '知识重构类')","('添加', '知识重构类')",0.5,540,1,540
"('考虑', '知识重构类')","('提出', '知识重构类')",0.125,532,76,7
"('递交', '成果发布类')","('提出', '成果发布类')",1.0,525,1,525
"('采用', '知识重构类')","('证明', '成果影响类')",0.2,522,2,261
"('配备', '资源获取类')","('支持', '资源获取类')",0.5,512,1,512
"('深化', '知识重构类')","('撰写', '知识规划类')",1.0,512,1,512
"('前往', '知识重构类')","('参加', '知识重构类')",1.0,512,1,512
"('推动', '知识重构类')","('深化', '知识重构类')",0.5,512,1,512
"('派出', '知识协作类')","('前往', '知识重构类')",1.0,512,1,512
"('撰写', '知识规划类')","('派出', '知识协作类')",1.0,512,1,512
"('支持', '资源获取类')","('参加', '知识重构类')",0.5,512,1,512
"('组装', '知识重构类')","('产生', '知识重构类')",0.5,489,1,489
"('获取', '知识重构类')","('发表', '成果发布类')",0.2142857142857143,472,59,8
"('试验', '知识重构类')","('探索', '知识重构类')",0.1333333333333333,444,37,12
"('改造', '资源获取类')","('试验', '知识重构类')",1.0,441,1,441
"('测验', '知识重构类')","('试验', '知识重构类')",0.5,441,1,441
"('察觉', '知识规划类')","('试验', '知识重构类')",0.5,441,1,441
"('添加', '知识重构类')","('试验', '知识重构类')",0.3333333333333333,441,1,441
"('确保', '知识重构类')","('试验', '知识重构类')",1.0,441,1,441
"('参加', '知识协作类')","('减敏', '知识重构类')",0.25,441,1,441
"('减敏', '知识重构类')","('试验', '知识重构类')",1.0,441,1,441
"('控制', '知识重构类')","('达到', '成果影响类')",0.3333333333333333,426,2,213
"('达到', '成果影响类')","('安排', '知识规划类')",1.0,426,2,213
"('获取', '资源获取类')","('带领', '知识协作类')",0.3333333333333333,424,2,212
"('开展', '知识规划类')","('带领', '知识协作类')",0.25,424,2,212
"('成功', '成果影响类')","('排除', '成果影响类')",1.0,419,419,1
"('改进', '知识重构类')","('解决', '知识重构类')",0.1666666666666667,419,419,1
"('改进', '知识重构类')","('成功', '成果影响类')",0.1666666666666667,419,419,1
"('采用', '知识重构类')","('获取', '成果发布类')",0.2,372,2,186
"('考察', '资源获取类')","('看见', '知识重构类')",0.5,330,1,330
"('产生', '知识重构类')","('看见', '知识重构类')",0.5,330,1,330
"('带领', '知识协作类')","('建立', '知识重构类')",0.09090909090909091,306,102,3
"('分离', '知识重构类')","('中止', '知识重构类')",1.0,304,1,304
"('选择', '知识重构类')","('分离', '知识重构类')",0.3333333333333333,304,1,304
"('选择', '知识重构类')","('改造', '知识重构类')",0.3333333333333333,304,1,304
"('中止', '知识重构类')","('改造', '知识重构类')",1.0,304,1,304
"('保持', '知识重构类')","('获取', '知识重构类')",1.0,296,1,296
"('考察', '知识重构类')","('获取', '知识重构类')",1.0,296,1,296
"('校正', '知识重构类')","('获取', '知识重构类')",1.0,296,1,296
"('排除', '知识重构类')","('获取', '知识重构类')",1.0,296,1,296
"('确保', '知识规划类')","('获取', '资源获取类')",1.0,289,1,289
"('参加', '知识协作类')","('获取', '资源获取类')",0.25,289,1,289
"('承认', '成果影响类')","('采用', '成果影响类')",1.0,261,1,261
"('采用', '成果影响类')","('证明', '成果影响类')",1.0,261,1,261
"('开展', '知识规划类')","('召开', '知识协作类')",0.25,228,2,114
"('考虑', '知识重构类')","('计算', '知识重构类')",0.125,228,76,3
"('求解', '知识重构类')","('分析', '知识重构类')",0.2,226,2,113
"('召开', '知识协作类')","('分析', '知识重构类')",0.3333333333333333,226,2,113
"('开展', '知识重构类')","('提出', '知识重构类')",0.4,217,31,7
"('担任', '知识规划类')","('安排', '知识规划类')",0.25,213,1,213
"('担任', '知识规划类')","('带领', '知识协作类')",0.25,212,1,212
"('处理', '知识重构类')","('采用', '资源获取类')",0.3333333333333333,204,6,34
"('发现', '知识重构类')","('解决', '知识重构类')",0.05882352941176471,200,200,1
"('发现', '知识重构类')","('研究', '知识重构类')",0.1176470588235294,200,200,1
"('分析', '知识重构类')","('检验', '成果影响类')",0.05263157894736842,193,193,1
"('分析', '知识重构类')","('解决', '知识重构类')",0.05263157894736842,193,193,1
"('建立', '知识规划类')","('开展', '知识重构类')",0.1428571428571428,189,27,7
"('调节', '知识重构类')","('获取', '成果发布类')",0.5,186,1,186
"('出现', '成果影响类')","('获取', '成果发布类')",1.0,186,1,186
"('表明', '知识重构类')","('说明', '知识重构类')",0.1666666666666667,176,44,4
"('指出', '知识重构类')","('处理', '知识重构类')",0.3333333333333333,175,5,35
"('引用', '资源获取类')","('召集', '知识协作类')",1.0,170,1,170
"('召集', '知识协作类')","('了解', '知识重构类')",1.0,170,1,170
"('产生', '知识整合类')","('比较', '知识整合类')",1.0,162,1,162
"('采集', '知识整合类')","('产生', '知识整合类')",1.0,162,1,162
"('产生', '知识重构类')","('减小', '知识重构类')",0.5,159,1,159
"('试验', '知识重构类')","('说明', '知识重构类')",0.06666666666666667,148,37,4
"('奠定', '成果影响类')","('研制', '成果发布类')",0.5,144,3,48
"('获取', '资源获取类')","('发现', '知识重构类')",0.3333333333333333,140,2,70
"('参加', '知识重构类')","('发现', '知识重构类')",0.3333333333333333,140,2,70
"('了解', '知识重构类')","('完成', '成果发布类')",0.5,136,1,136
"('汇报', '知识重构类')","('表明', '知识重构类')",1.0,135,1,135
"('确定', '知识规划类')","('提出', '知识重构类')",0.1666666666666667,126,18,7
"('减小', '知识重构类')","('求解', '知识重构类')",0.5,125,1,125
"('选择', '知识规划类')","('求解', '知识重构类')",0.2,125,1,125
"('组装', '知识重构类')","('分析', '知识重构类')",0.5,113,1,113
"('权衡', '知识重构类')","('分析', '知识重构类')",1.0,113,1,113
"('来到', '知识规划类')","('分析', '知识重构类')",0.3333333333333333,113,1,113
"('记录', '知识重构类')","('拍摄', '知识重构类')",1.0,113,1,113
"('比较', '知识整合类')","('分析', '知识重构类')",0.5,113,1,113
"('拍摄', '知识重构类')","('分析', '知识重构类')",1.0,113,1,113
"('提供', '资源获取类')","('提出', '知识重构类')",0.25,112,16,7
"('汇报', '成果发布类')","('投影', '成果发布类')",0.5,111,3,37
"('投影', '成果发布类')","('认为', '知识重构类')",1.0,111,3,37
"('带领', '知识协作类')","('研究', '知识重构类')",0.1818181818181818,102,102,1
"('研制', '成果发布类')","('具有', '成果影响类')",0.3333333333333333,99,99,1
"('选择', '知识规划类')","('考虑', '知识重构类')",0.2,98,1,98
"('明确', '知识规划类')","('考虑', '知识重构类')",0.5,98,1,98
"('确定', '知识重构类')","('递交', '知识协作类')",0.3333333333333333,90,2,45
"('递交', '知识协作类')","('汇报', '成果发布类')",1.0,90,2,45
"('获取', '成果影响类')","('成为', '成果影响类')",0.5,88,88,1
"('建立', '知识规划类')","('建立', '知识重构类')",0.1428571428571428,81,27,3
"('认为', '成果影响类')","('开辟', '成果影响类')",1.0,77,1,77
"('考虑', '知识重构类')","('汇报', '知识协作类')",0.125,76,76,1
"('试验', '知识重构类')","('讨论', '知识协作类')",0.1333333333333333,74,37,2
"('平衡', '知识重构类')","('借助', '资源获取类')",1.0,73,1,73
"('预测', '知识重构类')","('发现', '知识重构类')",0.5,70,1,70
"('观测', '知识重构类')","('发现', '知识重构类')",0.5,70,1,70
"('从事', '知识重构类')","('发现', '知识重构类')",1.0,70,1,70
"('验算', '知识重构类')","('发现', '知识重构类')",1.0,70,1,70
"('添加', '知识重构类')","('验算', '知识重构类')",0.3333333333333333,70,1,70
"('反对', '知识重构类')","('发现', '知识重构类')",1.0,70,1,70
"('检查', '知识重构类')","('发现', '知识重构类')",0.5,70,1,70
"('开展', '知识规划类')","('采用', '资源获取类')",0.25,68,2,34
"('看见', '知识重构类')","('采用', '资源获取类')",0.5,68,2,34
"('引起', '知识重构类')","('采用', '资源获取类')",0.5,68,2,34
"('控制', '知识重构类')","('采用', '资源获取类')",0.3333333333333333,68,2,34
"('提供', '知识重构类')","('证明', '知识重构类')",0.25,60,5,12
"('获取', '知识重构类')","('解决', '知识重构类')",0.07142857142857142,59,59,1
"('提高', '知识重构类')","('合作', '知识协作类')",0.3333333333333333,58,2,29
