from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('拍摄', '知识重构类')","('分析', '知识重构类')",1.0,0.002749162500572696,37,0.10171901252118976,1,37
"('计算', '知识重构类')","('建立', '知识重构类')",0.07142857142857142,0.02254027856388445,60,0.09660119384521906,60,1
"('跟随', '知识协作类')","('学习', '知识整合类')",1.0,0.0008196721311475411,115,0.09426229508196722,1,115
"('估计', '知识重构类')","('考虑', '知识重构类')",0.3333333333333333,0.003931648348483235,68,0.08911736256561999,68,1
"('记录', '知识重构类')","('拍摄', '知识重构类')",1.0,0.002269988669877577,37,0.08398958078547035,1,37
"('汇报', '知识重构类')","('表明', '知识重构类')",1.0,0.002192395257858252,38,0.08331101979861358,1,38
"('试验', '知识重构类')","('讨论', '知识协作类')",0.1111111111111111,0.01427454591026196,51,0.08088909349148443,17,3
"('获取', '成果影响类')","('总结', '知识整合类')",0.5,0.00892435261273404,18,0.08031917351460637,3,6
"('分析', '知识重构类')","('考虑', '知识重构类')",0.1111111111111111,0.01017387537062483,68,0.07686928057805427,68,1
"('提供', '资源获取类')","('证明', '成果影响类')",0.3333333333333333,0.004981535711038727,42,0.06974149995454217,14,3
"('考察', '资源获取类')","('看见', '知识重构类')",1.0,0.0008196721311475411,82,0.06721311475409837,1,82
"('提供', '知识重构类')","('证明', '知识重构类')",0.3333333333333333,0.004956263547888952,40,0.06608351397185269,4,10
"('决定', '知识规划类')","('研制', '知识重构类')",0.4,0.008097560913331879,20,0.06478048730665503,20,1
"('采用', '资源获取类')","('观察', '知识重构类')",0.2,0.01860746576339386,16,0.05954389044286035,16,1
"('根据', '知识整合类')","('计算', '知识重构类')",1.0,0.0008196721311475411,71,0.058196721311475415,1,71
"('求解', '知识重构类')","('分析', '知识重构类')",0.5,0.003059218755879898,37,0.05659554698377811,1,37
"('试验', '知识重构类')","('观察', '知识重构类')",0.2222222222222222,0.01427454591026196,17,0.05392606232765629,17,1
"('加强', '知识协作类')","('组织', '知识协作类')",1.0,0.002657869499939776,20,0.05315738999879552,2,10
"('奠定', '成果影响类')","('培养', '知识规划类')",1.0,0.005536031349454715,9,0.04982428214509243,1,9
"('培养', '知识规划类')","('建立', '知识规划类')",1.0,0.005525298778270713,9,0.049727689004436415,1,9
"('选择', '知识规划类')","('求解', '知识重构类')",0.25,0.004194800312924486,47,0.049288903676862714,1,47
"('注重', '知识规划类')","('加强', '知识协作类')",1.0,0.002162585139731651,20,0.04325170279463302,2,10
"('达到', '成果影响类')","('安排', '知识规划类')",1.0,0.004542945631720964,9,0.04088651068548868,3,3
"('汇报', '成果发布类')","('发表', '成果发布类')",1.0,0.003335112148739556,12,0.04002134578487467,2,6
"('设计', '知识重构类')","('提供', '资源获取类')",0.25,0.006334917162956199,24,0.03800950297773719,6,4
"('认为', '成果影响类')","('开辟', '成果影响类')",1.0,0.002479280758594695,15,0.03718921137892042,1,15
"('制定', '知识规划类')","('奠定', '成果影响类')",1.0,0.004122739118012083,9,0.03710465206210875,1,9
"('讨论', '知识重构类')","('整理', '知识整合类')",1.0,0.002009916333994513,18,0.036178494011901235,1,18
"('递交', '知识协作类')","('汇报', '成果发布类')",1.0,0.002959341197127596,12,0.03551209436553115,2,6
"('提供', '成果影响类')","('制定', '知识规划类')",1.0,0.003885961160946895,9,0.034973650448522055,1,9
"('看见', '知识重构类')","('获取', '知识重构类')",0.5,0.003321923969189873,21,0.034880201676493666,3,7
"('提出', '知识规划类')","('提供', '资源获取类')",0.3333333333333333,0.004277756357344119,24,0.03422205085875295,6,4
"('引起', '知识重构类')","('提出', '知识规划类')",0.5,0.00417863867888687,16,0.03342910943109496,4,4
"('发现', '知识重构类')","('说明', '知识重构类')",0.125,0.01213144399159939,22,0.03336147097689832,22,1
"('发现', '知识重构类')","('考虑', '知识重构类')",0.125,0.01213144399159939,22,0.03336147097689832,22,1
"('掌握', '知识重构类')","('提供', '成果影响类')",1.0,0.003607398858520441,9,0.03246658972668397,1,9
"('决定', '知识规划类')","('研究', '知识重构类')",0.2,0.008097560913331879,20,0.032390243653327516,20,1
"('学习', '知识整合类')","('注重', '知识规划类')",0.3333333333333333,0.004739692971404825,20,0.03159795314269883,2,10
"('整理', '知识整合类')","('撰写', '成果发布类')",0.5,0.005113192993747492,12,0.03067915796248495,1,12
