from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('考虑', '知识重构类')","('磨制', '知识重构类')",0.125,0.007566995391472727,1292,1.2220697557228453,76,17
"('怀疑', '知识重构类')","('辩论', '知识协作类')",0.5,0.002583670088857151,918,1.1859045707854323,2,459
"('撰写', '知识规划类')","('派出', '知识协作类')",1.0,0.002299057412095136,512,1.1771173949927096,1,512
"('带领', '知识协作类')","('证明', '知识重构类')",0.09090909090909091,0.01055336866780047,1224,1.174302113580707,102,12
"('决定', '知识规划类')","('研究', '知识重构类')",0.08333333333333333,0.01188172752891758,1179,1.1673797297161521,1179,1
"('遇到', '知识重构类')","('来到', '知识规划类')",1.0,0.001347331787509911,861,1.1600526690460333,1,861
"('分析', '知识重构类')","('提出', '知识重构类')",0.05263157894736842,0.01615408579391875,1351,1.1486405214518016,193,7
"('分析', '知识重构类')","('决定', '知识规划类')",0.05263157894736842,0.01615408579391875,1351,1.1486405214518016,193,7
"('简化', '知识重构类')","('获取', '知识重构类')",1.0,0.00191645545157261,592,1.1345416273309852,2,296
"('选择', '资源获取类')","('确定', '知识重构类')",1.0,0.001749627729858448,638,1.1162624916496897,1,638
"('主持', '知识规划类')","('确定', '知识规划类')",1.0,0.001164369001856638,940,1.0945068617452398,1,940
"('证明', '知识重构类')","('指出', '成果影响类')",0.1111111111111111,0.008884517564084184,1093,1.0789752997271125,1093,1
"('试验', '知识重构类')","('探索', '知识重构类')",0.1333333333333333,0.01774722037975357,444,1.0506354464814112,37,12
"('改造', '知识重构类')","('继续', '知识重构类')",0.5,0.003483007204691448,592,1.0309701325886687,2,296
"('深化', '知识重构类')","('撰写', '知识规划类')",1.0,0.001950475489800234,512,0.9986434507777198,1,512
"('表明', '知识重构类')","('观察', '知识重构类')",0.1666666666666667,0.007739830391703697,748,0.9648988554990612,44,17
"('满足', '知识重构类')","('确定', '知识重构类')",1.0,0.001488197473140036,638,0.9494699878633429,1,638
"('确定', '知识重构类')","('绘制', '知识重构类')",0.3333333333333333,0.00454767636043241,594,0.9004399193656172,2,297
"('确定', '知识重构类')","('简化', '知识重构类')",0.3333333333333333,0.00454767636043241,592,0.8974081351253289,2,296
"('发现', '知识重构类')","('说明', '知识重构类')",0.05882352941176471,0.01850792364471343,800,0.8709611126923968,200,4
